stationName,timeDelta,caloosLink,gsheetsStatus
Moss Landing Marine Laboratories Seawater Intake Monitoring Station (MLSC1),16 minutes,https://data.caloos.org/#metadata/48035/station/data,
Moss Landing Marine Laboratories Weather Station,18 minutes,https://data.caloos.org/#metadata/20724/station/data,
Monterey Wharf Real Time Sampling,"2 days, 6 hours, 24 minutes",https://data.caloos.org/#metadata/130085/station/data,
Hog Island Oyster,"11 hours, 25 minutes",https://data.caloos.org/?#metadata/103542/station/data,
Romberg Tiburon Center Pier,"2 days, 7 hours, 25 minutes",https://data.caloos.org/?&sensor_version=v2cache#metadata/103547/station/data,
Santa Cruz Municipal Wharf,"40 days, 17 hours, 0 minutes",https://data.caloos.org/#metadata/48323/station/data,
Santa Cruz Wharf Weather Station,25 minutes,https://data.caloos.org/#metadata/102580/station/data,
"Trinidad Head, California",25 minutes,https://data.caloos.org/#metadata/48097/station/data,
Bodega Marine Laboratory seawater intake,"410 days, 8 hours, 7 minutes",https://data.caloos.org/#metadata/19946/station/data,
Carquinez,"122 days, 1 hours, 24 minutes",https://data.caloos.org/?&sensor_version=v2cache#metadata/103546/station/data,
Fort Point Pier,"410 days, 11 hours, 37 minutes",https://data.caloos.org/#metadata/19947/station/data,
Humboldt Bay Pier,"2 days, 0 hours, 55 minutes",https://data.caloos.org/#metadata/20363/station/data,
Morro Bay - BM1 T-Pier,"21 days, 17 hours, 15 minutes",https://data.caloos.org/#metadata/20679/station/data,
Morro Bay - BS1,"21 days, 17 hours, 5 minutes",https://data.caloos.org/#metadata/100050/station/data,
Morro Bay - BS1 MET,"21 days, 17 hours, 5 minutes",https://data.caloos.org/#metadata/57163/station/data,
San Luis Bay - Cal Poly Pier Shore (CPXC1),"10 days, 13 hours, 42 minutes",https://data.caloos.org/#metadata/103545/station,
San Luis Bay - Cal Poly Pier MET (CPXC1),"2 hours, 28 minutes",https://data.caloos.org/#metadata/103544/station/data,
